Nutrient,Age_Group,Male,Female,Pregnant,Lactating,Unit,Source,Source_Links,Footnotes,Nutrient_Notes
Isoflavones,1–3 years,8.8,8.8,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Isoflavones,31–50 years,25.0,25.0,27.5,30.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Isoflavones,4–8 years,12.5,12.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Isoflavones,51–70 years,22.5,22.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Isoflavones,70+ years,21.2,21.2,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Isoflavones,7–12 months,6.2,6.2,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Isoflavones,9–13 years,17.5,17.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Isoflavones,Birth to 6 months,3.8,3.8,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Isoleucine,14–18 years,1260,1080,1188.0,1296.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Isoleucine,19–50 years,1400,1140,1254.0,1368.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Isoleucine,1–3 years,240,240,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Isoleucine,4–8 years,400,400,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Isoleucine,51+ years,1400,1140,1254.0,1368.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Isoleucine,7–12 months,180,180,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Isoleucine,9–13 years,800,800,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Isoleucine,Birth to 6 months,120,120,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Lactobacillus acidophilus,14–18 years,850.0×10^6,850.0×10^6,935.0×10^6,1.0×10^9,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Lactobacillus acidophilus,19+ years,1×10^9,1×10^9,1×10^9,1×10^9,CFU,Research-based,Multiple peer-reviewed studies and clinical trials,Daily probiotic intake,
Lactobacillus acidophilus,19–30 years,1.0×10^9,1.0×10^9,1.1×10^9,1.2×10^9,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Lactobacillus acidophilus,1–3 years,350.0×10^6,350.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Lactobacillus acidophilus,31–50 years,1.0×10^9,1.0×10^9,1.1×10^9,1.2×10^9,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Lactobacillus acidophilus,4–8 years,500.0×10^6,500.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Lactobacillus acidophilus,51–70 years,900.0×10^6,900.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Lactobacillus acidophilus,70+ years,850.0×10^6,850.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Lactobacillus acidophilus,7–12 months,250.0×10^6,250.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Lactobacillus acidophilus,9–13 years,700.0×10^6,700.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Lactobacillus acidophilus,Birth to 6 months,150.0×10^6,150.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Leucine,14–18 years,2457,2106,2316.6000000000004,2527.2,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Leucine,19–50 years,2730,2223,2445.3,2667.6,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Leucine,1–3 years,468,468,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Leucine,4–8 years,780,780,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Leucine,51+ years,2730,2223,2445.3,2667.6,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Leucine,7–12 months,351,351,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Leucine,9–13 years,1560,1560,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Leucine,Birth to 6 months,234,234,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Lutein,14–18 years,5.1,5.1,5.6,6.1,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lutein,19+ years,6,6,6,6,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Eye health studies,
Lutein,19–30 years,6.0,6.0,6.6,7.2,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lutein,1–3 years,2.1,2.1,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lutein,31–50 years,6.0,6.0,6.6,7.2,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lutein,4–8 years,3.0,3.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lutein,51–70 years,5.4,5.4,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lutein,70+ years,5.1,5.1,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lutein,7–12 months,1.5,1.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lutein,9–13 years,4.2,4.2,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lutein,Birth to 6 months,0.9,0.9,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lycopene,14–18 years,8.5,8.5,9.4,10.2,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lycopene,19+ years,10,10,10,10,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Cardiovascular and prostate health,
Lycopene,19–30 years,10.0,10.0,11.0,12.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lycopene,1–3 years,3.5,3.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lycopene,31–50 years,10.0,10.0,11.0,12.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lycopene,4–8 years,5.0,5.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lycopene,51–70 years,9.0,9.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lycopene,70+ years,8.5,8.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lycopene,7–12 months,2.5,2.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lycopene,9–13 years,7.0,7.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lycopene,Birth to 6 months,1.5,1.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Lysine,14–18 years,1890,1620,1782.0000000000002,1944.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Lysine,19–50 years,2100,1710,1881.0000000000002,2052.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Lysine,1–3 years,360,360,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Lysine,4–8 years,600,600,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Lysine,51+ years,2100,1710,1881.0000000000002,2052.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Lysine,7–12 months,270,270,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Lysine,9–13 years,1200,1200,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Lysine,Birth to 6 months,180,180,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
MCTs,14–18 years,12750.0,12750.0,14025.0,15300.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
MCTs,19+ years,15000,15000,15000,15000,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Medium-chain triglycerides,
MCTs,19–30 years,15000.0,15000.0,16500.0,18000.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
MCTs,1–3 years,5250.0,5250.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
MCTs,31–50 years,15000.0,15000.0,16500.0,18000.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
MCTs,4–8 years,7500.0,7500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
MCTs,51–70 years,13500.0,13500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
MCTs,70+ years,12750.0,12750.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
MCTs,7–12 months,3750.0,3750.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
MCTs,9–13 years,10500.0,10500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
MCTs,Birth to 6 months,2250.0,2250.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Magnesium,14–18 years,410,360,400,360,mg,ODS Magnesium Factsheet,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,,
Magnesium,19–30 years,400,310,350,310,mg,ODS Magnesium Factsheet,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,,
Magnesium,1–3 years,80,80,,,mg,ODS Magnesium Factsheet,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,,
Magnesium,31–50 years,420,320,360,320,mg,ODS Magnesium Factsheet,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,,
Magnesium,4–8 years,130,130,,,mg,ODS Magnesium Factsheet,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,,
Magnesium,51+ years,420,320,,,mg,ODS Magnesium Factsheet,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,,
Magnesium,7–12 months,75,75,,,mg,ODS Magnesium Factsheet,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,*AI,
Magnesium,9–13 years,240,240,,,mg,ODS Magnesium Factsheet,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,,
Magnesium,Birth to 6 months,30,30,,,mg,ODS Magnesium Factsheet,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,*AI,
Manganese,14–18 years,2.2,1.6,2.0,2.6,mg,ODS Manganese Factsheet,https://ods.od.nih.gov/factsheets/Manganese-HealthProfessional/,*AI,
Manganese,19–50 years,2.3,1.8,2.0,2.6,mg,ODS Manganese Factsheet,https://ods.od.nih.gov/factsheets/Manganese-HealthProfessional/,*AI,
Manganese,1–3 years,1.2,1.2,,,mg,ODS Manganese Factsheet,https://ods.od.nih.gov/factsheets/Manganese-HealthProfessional/,*AI,
Manganese,4–8 years,1.5,1.5,,,mg,ODS Manganese Factsheet,https://ods.od.nih.gov/factsheets/Manganese-HealthProfessional/,*AI,
Manganese,51+ years,2.3,1.8,,,mg,ODS Manganese Factsheet,https://ods.od.nih.gov/factsheets/Manganese-HealthProfessional/,*AI,
Manganese,7–12 months,0.6,0.6,,,mg,ODS Manganese Factsheet,https://ods.od.nih.gov/factsheets/Manganese-HealthProfessional/,*AI,
Manganese,9–13 years,1.9,1.6,,,mg,ODS Manganese Factsheet,https://ods.od.nih.gov/factsheets/Manganese-HealthProfessional/,*AI,
Manganese,Birth to 6 months,0.003,0.003,,,mg,ODS Manganese Factsheet,https://ods.od.nih.gov/factsheets/Manganese-HealthProfessional/,*AI,
Methionine,14–18 years,945,810,891.0000000000001,972.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Methionine,19–50 years,1050,855,940.5000000000001,1026.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Methionine,1–3 years,180,180,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Methionine,4–8 years,300,300,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Methionine,51+ years,1050,855,940.5000000000001,1026.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Methionine,7–12 months,135,135,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Methionine,9–13 years,600,600,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Methionine,Birth to 6 months,90,90,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Molybdenum,14–18 years,43,43,50,50,mcg,ODS Molybdenum Factsheet,https://ods.od.nih.gov/factsheets/Molybdenum-HealthProfessional/,,
Molybdenum,19+ years,45,45,50,50,mcg,ODS Molybdenum Factsheet,https://ods.od.nih.gov/factsheets/Molybdenum-HealthProfessional/,,
Molybdenum,1–3 years,17,17,,,mcg,ODS Molybdenum Factsheet,https://ods.od.nih.gov/factsheets/Molybdenum-HealthProfessional/,,
Molybdenum,4–8 years,22,22,,,mcg,ODS Molybdenum Factsheet,https://ods.od.nih.gov/factsheets/Molybdenum-HealthProfessional/,,
Molybdenum,7–12 months,3,3,,,mcg,ODS Molybdenum Factsheet,https://ods.od.nih.gov/factsheets/Molybdenum-HealthProfessional/,*AI,
Molybdenum,9–13 years,34,34,,,mcg,ODS Molybdenum Factsheet,https://ods.od.nih.gov/factsheets/Molybdenum-HealthProfessional/,,
Molybdenum,Birth to 6 months,2,2,,,mcg,ODS Molybdenum Factsheet,https://ods.od.nih.gov/factsheets/Molybdenum-HealthProfessional/,*AI,
Niacin,14–18 years,16,14,18,17,mg NE,ODS Niacin Factsheet,https://ods.od.nih.gov/factsheets/Niacin-HealthProfessional/,,
Niacin,19+ years,16,14,18,17,mg NE,ODS Niacin Factsheet,https://ods.od.nih.gov/factsheets/Niacin-HealthProfessional/,,
Niacin,1–3 years,6,6,,,mg NE,ODS Niacin Factsheet,https://ods.od.nih.gov/factsheets/Niacin-HealthProfessional/,,
Niacin,4–8 years,8,8,,,mg NE,ODS Niacin Factsheet,https://ods.od.nih.gov/factsheets/Niacin-HealthProfessional/,,
Niacin,7–12 months,4,4,,,mg NE,ODS Niacin Factsheet,https://ods.od.nih.gov/factsheets/Niacin-HealthProfessional/,*AI,
Niacin,9–13 years,12,12,,,mg NE,ODS Niacin Factsheet,https://ods.od.nih.gov/factsheets/Niacin-HealthProfessional/,,
Niacin,Birth to 6 months,2,2,,,mg,ODS Niacin Factsheet,https://ods.od.nih.gov/factsheets/Niacin-HealthProfessional/,*AI,
Nickel,19+ years,100,100,100,100,mcg,Research estimate,,Estimated safe intake,
Omega-3 Fatty Acids (ALA),14–18 years,1.6,1.1,1.4,1.3,g,ODS Omega-3 Factsheet,https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/,*AI,". ALA primarily from plant sources like flax, chia, and walnuts"
Omega-3 Fatty Acids (ALA),19–50 years,1.6,1.1,1.4,1.3,g,ODS Omega-3 Factsheet,https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/,*AI,". ALA primarily from plant sources like flax, chia, and walnuts"
Omega-3 Fatty Acids (ALA),1–3 years,0.7,0.7,,,g,ODS Omega-3 Factsheet,https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/,*AI,". ALA primarily from plant sources like flax, chia, and walnuts"
Omega-3 Fatty Acids (ALA),4–8 years,0.9,0.9,,,g,ODS Omega-3 Factsheet,https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/,*AI,". ALA primarily from plant sources like flax, chia, and walnuts"
Omega-3 Fatty Acids (ALA),51+ years,1.6,1.1,,,g,ODS Omega-3 Factsheet,https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/,*AI,". ALA primarily from plant sources like flax, chia, and walnuts"
Omega-3 Fatty Acids (ALA),7–12 months,0.5,0.5,,,g,ODS Omega-3 Factsheet,https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/,*AI,". ALA primarily from plant sources like flax, chia, and walnuts"
Omega-3 Fatty Acids (ALA),9–13 years,1.2,1.0,,,g,ODS Omega-3 Factsheet,https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/,*AI,". ALA primarily from plant sources like flax, chia, and walnuts"
Omega-3 Fatty Acids (ALA),Birth to 6 months,0.5,0.5,,,g,ODS Omega-3 Factsheet,https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/,*AI,". ALA primarily from plant sources like flax, chia, and walnuts"
"Omega-3 Fatty Acids (Combined ALA, EPA, DHA)",1-3 years,3125.7,2446.20,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Calculated from optimal diet analysis - mg,
"Omega-3 Fatty Acids (Combined ALA, EPA, DHA)",14-18 years,6876.54,5381.64,8072.46,8610.62,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Calculated from optimal diet analysis - mg,
"Omega-3 Fatty Acids (Combined ALA, EPA, DHA)",19-30 years,6251.4,4892.40,7338.6,7827.84,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Calculated from optimal diet analysis - mg,
"Omega-3 Fatty Acids (Combined ALA, EPA, DHA)",31-50 years,6251.4,4892.40,7338.6,7827.84,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Calculated from optimal diet analysis - mg,
"Omega-3 Fatty Acids (Combined ALA, EPA, DHA)",4-8 years,4688.55,3669.30,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Calculated from optimal diet analysis - mg,
"Omega-3 Fatty Acids (Combined ALA, EPA, DHA)",51-70 years,5626.26,4403.16,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Calculated from optimal diet analysis - mg,
"Omega-3 Fatty Acids (Combined ALA, EPA, DHA)",7-12 months,2187.99,1712.34,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Calculated from optimal diet analysis - mg,
"Omega-3 Fatty Acids (Combined ALA, EPA, DHA)",70+ years,5313.69,4158.54,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Calculated from optimal diet analysis - mg,
"Omega-3 Fatty Acids (Combined ALA, EPA, DHA)",9-13 years,5626.26,4403.16,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Calculated from optimal diet analysis - mg,
"Omega-3 Fatty Acids (Combined ALA, EPA, DHA)",Birth to 6 months,1562.85,1223.10,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Calculated from optimal diet analysis - mg,
Omega-3 Fatty Acids (EPA+DHA),14–18 years,250,250,300,300,mg,Research-based,Multiple peer-reviewed studies and clinical trials,WHO recommendation,. EPA and DHA primarily from fish and algae sources
Omega-3 Fatty Acids (EPA+DHA),19+ years,250,250,300,300,mg,Research-based,Multiple peer-reviewed studies and clinical trials,WHO recommendation,. EPA and DHA primarily from fish and algae sources
Omega-3 Fatty Acids (EPA+DHA),1–3 years,100,100,,,mg,Research-based,Multiple peer-reviewed studies and clinical trials,WHO recommendation,. EPA and DHA primarily from fish and algae sources
Omega-3 Fatty Acids (EPA+DHA),4–8 years,150,150,,,mg,Research-based,Multiple peer-reviewed studies and clinical trials,WHO recommendation,. EPA and DHA primarily from fish and algae sources
Omega-3 Fatty Acids (EPA+DHA),7–12 months,70,70,,,mg,Research-based,Multiple peer-reviewed studies and clinical trials,From complementary foods,. EPA and DHA primarily from fish and algae sources
Omega-3 Fatty Acids (EPA+DHA),9–13 years,200,200,,,mg,Research-based,Multiple peer-reviewed studies and clinical trials,WHO recommendation,. EPA and DHA primarily from fish and algae sources
Omega-3 Fatty Acids (EPA+DHA),Birth to 6 months,50,50,,,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Adequate intake from breast milk,. EPA and DHA primarily from fish and algae sources
Omega-6 Fatty Acids (LA),14–18 years,16,11,13,13,g,DRI for Fatty Acids,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Omega-6 Fatty Acids (LA),19–50 years,17,12,13,13,g,DRI for Fatty Acids,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Omega-6 Fatty Acids (LA),1–3 years,7,7,,,g,DRI for Fatty Acids,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Omega-6 Fatty Acids (LA),4–8 years,10,10,,,g,DRI for Fatty Acids,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Omega-6 Fatty Acids (LA),51+ years,14,11,,,g,DRI for Fatty Acids,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Omega-6 Fatty Acids (LA),7–12 months,4.6,4.6,,,g,DRI for Fatty Acids,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Omega-6 Fatty Acids (LA),9–13 years,12,10,,,g,DRI for Fatty Acids,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Omega-6 Fatty Acids (LA),Birth to 6 months,4.4,4.4,,,g,DRI for Fatty Acids,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
PABA,14–18 years,85.0,85.0,93.5,102.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
PABA,19+ years,100,100,100,100,mg,Research-based,Multiple peer-reviewed studies and clinical trials,B-vitamin complex member,
PABA,19–30 years,100.0,100.0,110.0,120.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
PABA,1–3 years,35.0,35.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
PABA,31–50 years,100.0,100.0,110.0,120.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
PABA,4–8 years,50.0,50.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
PABA,51–70 years,90.0,90.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
